,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,VG_nan
204,1,11.7,16.7,5.6,1006.5,76,4.06,14.6,24.8,53.5,103.5,1,0,0,0,0
1016,0,25.7,34.4,18.3,1013.7,81,0.0,15.9,11.9,18.3,42.4,0,0,0,0,1
45,1,3.3,8.3,-1.1,1029.7,45,0.0,16.1,14.4,24.1,35.2,0,0,0,0,0
854,1,15.1,19.4,10.0,1017.0,91,24.13,14.3,16.9,27.8,40.7,1,0,0,0,0
1182,1,28.3,35.0,22.2,1014.5,61,0.0,16.1,16.1,27.8,40.7,0,0,0,0,0
555,1,7.4,13.9,3.3,1030.7,87,4.32,9.2,8.5,16.5,42.4,0,0,0,1,1
437,1,24.9,32.2,13.9,1014.3,66,1.02,16.1,16.5,31.7,37.0,0,0,0,0,0
430,1,21.9,31.1,6.7,1017.6,37,0.0,16.1,10.4,22.2,42.4,0,0,0,0,1
1114,1,8.3,17.2,5.6,1016.0,73,4.83,14.0,18.1,42.4,57.6,1,0,0,0,0
425,1,15.1,24.4,8.9,1006.9,37,0.25,16.1,19.4,63.0,85.2,1,0,0,0,0
206,1,0.9,2.2,0.0,1024.4,37,0.0,16.1,14.4,18.3,42.4,0,0,0,0,1
59,1,14.2,21.1,7.2,1014.8,63,0.0,15.6,16.9,40.7,55.4,1,0,1,0,0
1189,1,26.5,28.9,21.7,1020.4,84,0.0,15.3,18.5,33.5,44.6,1,0,0,0,0
27,1,19.2,25.6,6.1,1014.3,80,0.0,15.6,26.7,48.2,70.6,1,0,1,1,0
1218,1,17.7,24.4,12.8,1026.2,80,0.0,6.1,3.1,13.0,42.4,0,0,0,1,1
890,1,-4.1,0.0,-7.2,1022.1,36,4.32,16.1,31.3,46.5,59.4,0,0,0,0,0
883,1,10.9,18.3,3.9,1019.0,83,3.56,16.1,12.6,25.9,35.2,1,0,0,0,0
962,1,22.8,26.7,13.9,1010.4,82,2.79,15.0,16.5,27.8,38.9,1,0,0,0,0
1018,1,20.5,27.8,16.7,1017.2,88,1.27,11.1,19.1,33.5,44.6,1,0,0,0,0
1026,1,16.0,22.8,7.2,1025.1,78,0.0,16.1,3.5,14.8,42.4,0,0,0,0,1
786,1,24.9,27.8,20.6,1017.5,72,1.02,16.1,16.5,24.1,31.7,1,0,0,0,0
866,1,3.7,8.9,-3.3,1028.2,67,0.0,16.1,8.9,24.1,31.7,0,0,0,0,0
1133,1,15.3,19.4,12.8,1021.9,90,0.0,10.8,10.9,16.5,42.4,1,0,0,0,1
1005,1,23.9,29.4,18.9,1020.0,89,1.02,16.1,9.8,16.5,42.4,0,0,0,0,1
557,1,14.4,21.1,6.7,1020.1,82,0.0,16.1,19.3,35.2,50.0,1,0,0,0,0
364,0,18.6,25.6,12.2,1022.1,75,0.0,14.2,10.6,14.8,42.4,0,0,0,0,1
1011,1,19.6,28.3,10.6,1024.5,70,0.0,15.6,6.9,14.8,42.4,0,0,0,0,1
1115,1,10.6,17.8,2.2,1015.1,67,17.27,16.1,8.5,24.1,35.2,0,0,0,0,0
977,0,27.8,33.3,22.8,1015.9,76,0.0,15.8,7.2,14.8,42.4,0,0,0,1,1
526,1,14.7,23.3,5.6,1026.1,71,0.0,16.1,10.0,27.8,37.0,0,0,0,0,0
909,1,6.9,10.6,-1.7,1025.0,82,0.0,15.9,12.6,20.6,42.4,1,0,0,0,1
71,1,15.9,22.2,8.9,1023.9,51,0.0,16.1,8.9,20.6,31.7,0,0,0,0,0
467,1,23.9,30.0,20.6,1018.9,67,0.25,15.1,13.1,29.4,46.5,1,0,0,0,0
593,1,13.8,21.7,6.1,1027.7,57,0.0,16.1,18.1,38.9,50.0,0,0,0,0,0
10,1,8.5,18.3,-3.9,1009.5,42,0.0,16.1,19.3,35.2,48.2,0,0,0,0,0
756,1,15.6,23.3,12.2,1010.2,70,5.33,16.1,12.0,18.3,42.4,0,0,0,0,1
142,1,20.1,25.6,14.4,1016.9,76,0.0,15.9,9.3,22.2,42.4,0,0,0,0,1
